frame	n	Y	U	V	All
174	175	0.50037	0.819987	0.844926	0.611065
175	176	0.500383	0.819983	0.844988	0.611084
176	177	0.500291	0.820012	0.844984	0.611026
177	178	0.498474	0.821674	0.846184	0.610292
178	179	0.498604	0.821673	0.846059	0.610358
179	180	0.498637	0.821679	0.846025	0.610376
180	181	0.494404	0.818121	0.842785	0.606421
181	182	0.494655	0.818209	0.842763	0.606598
182	183	0.494542	0.818275	0.8428	0.60654
183	184	0.489468	0.819713	0.843494	0.603513
184	185	0.489409	0.81972	0.843437	0.603466
185	186	0.489802	0.819909	0.843481	0.603766
186	187	0.491035	0.817646	0.842655	0.604073
187	188	0.491038	0.817679	0.842699	0.604089
188	189	0.490964	0.817645	0.842652	0.604026
189	190	0.487911	0.820442	0.844292	0.60273
190	191	0.487936	0.820483	0.84437	0.602766
191	192	0.487969	0.820332	0.844288	0.60275
192	193	0.490439	0.818538	0.84212	0.603736
193	194	0.490587	0.818623	0.842288	0.603876
194	195	0.490562	0.818635	0.842247	0.603855
195	196	0.495902	0.819537	0.843963	0.607851
196	197	0.495722	0.819496	0.843847	0.607705
197	198	0.496966	0.819561	0.84405	0.608579
198	199	0.498647	0.818378	0.842979	0.609324
199	200	0.498638	0.818394	0.842942	0.609315
200	201	0.498493	0.818388	0.842959	0.60922
201	202	0.499372	0.820119	0.845672	0.610547
202	203	0.499401	0.820004	0.845675	0.610547
203	204	0.499372	0.819985	0.845615	0.610515
204	205	0.496287	0.817827	0.842765	0.607623
205	206	0.496704	0.817971	0.842814	0.607934
206	207	0.496678	0.818062	0.842791	0.607928
207	208	0.490765	0.819118	0.844764	0.60449
208	209	0.490653	0.819118	0.844786	0.60442
209	210	0.491164	0.81915	0.844927	0.604789
210	211	0.4912	0.817906	0.844628	0.604556
211	212	0.491195	0.817885	0.844634	0.60455
212	213	0.491071	0.817841	0.844504	0.604439
213	214	0.491282	0.820501	0.845874	0.60525
214	215	0.491252	0.820498	0.845897	0.605233
215	216	0.491273	0.82049	0.845895	0.605246
216	217	0.491657	0.818528	0.844678	0.604972
217	218	0.491903	0.818484	0.84484	0.605156
218	219	0.491884	0.818519	0.844823	0.605147
219	220	0.499817	0.820013	0.845561	0.610807
220	221	0.499699	0.819982	0.845493	0.610712
221	222	0.50076	0.820029	0.845635	0.611451
222	223	0.504348	0.819076	0.845078	0.613591
223	224	0.504376	0.81909	0.845052	0.613607
224	225	0.504087	0.819103	0.845072	0.61342
225	226	0.503003	0.820813	0.846104	0.613155
226	227	0.503008	0.820805	0.846084	0.613154
227	228	0.502939	0.820701	0.84596	0.61307
228	229	0.497993	0.818524	0.843228	0.608954
229	230	0.498299	0.818561	0.843406	0.609194
230	231	0.498279	0.818581	0.843471	0.609195
231	232	0.494624	0.818977	0.844577	0.607008
232	233	0.494473	0.818924	0.844462	0.60688
233	234	0.494829	0.819112	0.844462	0.607148
234	235	0.495792	0.817955	0.843763	0.607481
235	236	0.495744	0.817903	0.843751	0.607439
236	237	0.49574	0.817832	0.843613	0.607401
237	238	0.492079	0.820548	0.845022	0.605648
238	239	0.49211	0.820608	0.845061	0.605685
239	240	0.492157	0.820536	0.845047	0.605702
240	241	0.493486	0.817663	0.842034	0.605607
241	242	0.493626	0.817726	0.842158	0.605732
242	243	0.49357	0.817753	0.842139	0.605696
243	244	0.501134	0.819808	0.845444	0.611631
244	245	0.501024	0.81976	0.845393	0.611541
245	246	0.502001	0.81981	0.845757	0.612262
246	247	0.50191	0.819135	0.843331	0.611684
247	248	0.501945	0.81909	0.843349	0.611703
248	249	0.501799	0.819102	0.843328	0.611604
249	250	0.502307	0.820626	0.845531	0.612564
250	251	0.495634	0.818555	0.84407	0.607527
251	252	0.495695	0.818531	0.84414	0.607575
252	253	0.496716	0.815735	0.840572	0.607195
253	254	0.496784	0.815698	0.840572	0.607234
254	255	0.496717	0.815639	0.840531	0.607173
255	256	0.499005	0.818621	0.844661	0.609884
256	257	0.499223	0.818621	0.84456	0.610012
257	258	0.499167	0.818661	0.844567	0.609983
258	259	0.494479	0.815101	0.840836	0.605642
259	260	0.494839	0.815239	0.840891	0.605914
260	261	0.494782	0.815241	0.840878	0.605875
261	262	0.49025	0.817535	0.842781	0.603553
262	263	0.490092	0.817602	0.842695	0.603444
263	264	0.490332	0.81766	0.842817	0.603634
264	265	0.492352	0.818371	0.843013	0.605132
265	266	0.492366	0.818348	0.843002	0.605136
266	267	0.49229	0.818236	0.842923	0.605053
267	268	0.506641	0.820041	0.845119	0.615287
268	269	0.506691	0.820091	0.845171	0.615338
269	270	0.506818	0.820123	0.845141	0.615423
270	271	0.502903	0.816727	0.842452	0.611798
271	272	0.503541	0.816855	0.842651	0.612278
272	273	0.503586	0.816837	0.84259	0.612295
273	274	0.498587	0.81795	0.844071	0.609395
274	275	0.498401	0.817903	0.844029	0.609256
275	276	0.498952	0.817956	0.844113	0.609646
276	277	0.49761	0.817423	0.841857	0.608286
277	278	0.497595	0.817379	0.841846	0.608267
278	279	0.497656	0.817301	0.841799	0.608287
279	280	0.499826	0.818979	0.844562	0.610474
280	281	0.499781	0.818949	0.844555	0.610438
281	282	0.499774	0.818945	0.844539	0.61043
282	283	0.493992	0.816328	0.842772	0.605845
283	284	0.494204	0.816446	0.84288	0.606023
284	285	0.49416	0.816424	0.842895	0.605993
285	286	0.48928	0.818354	0.844074	0.603258
286	287	0.489194	0.818305	0.844069	0.603191
287	288	0.489722	0.818374	0.844185	0.603574
288	289	0.491974	0.817303	0.842984	0.604697
289	290	0.492038	0.817299	0.84301	0.604743
290	291	0.49186	0.817312	0.842992	0.604624
291	292	0.507741	0.820028	0.84534	0.616056
292	293	0.507793	0.820064	0.845333	0.616095
293	294	0.507858	0.820089	0.845358	0.616146
294	295	0.504119	0.817707	0.843109	0.612882
295	296	0.504697	0.817742	0.84325	0.613296
296	297	0.504761	0.817762	0.843219	0.613338
297	298	0.498406	0.817498	0.843101	0.609037
298	299	0.498354	0.817516	0.843005	0.608989
299	300	0.498892	0.817557	0.843118	0.609374
300	301	0.497692	0.816633	0.842289	0.608282
301	302	0.497732	0.816576	0.842284	0.608298
302	303	0.497716	0.816515	0.8423	0.60828
303	304	0.501325	0.818477	0.844234	0.611336
304	305	0.501313	0.818464	0.844288	0.611334
305	306	0.501285	0.818464	0.844283	0.611314
306	307	0.496378	0.815247	0.841224	0.606997
307	308	0.496609	0.815373	0.841399	0.607201
308	309	0.496636	0.815321	0.841405	0.607212
309	310	0.494242	0.81722	0.843718	0.606317
310	311	0.494109	0.817258	0.84369	0.60623
311	312	0.494493	0.8173	0.843846	0.60652
312	313	0.496933	0.815139	0.841369	0.607373
313	314	0.496973	0.815136	0.84141	0.607406
314	315	0.496918	0.81509	0.841437	0.607366
315	316	0.510504	0.818923	0.845216	0.617693
316	317	0.510478	0.818871	0.845144	0.617654
317	318	0.510579	0.818763	0.845127	0.617701
318	319	0.50615	0.815773	0.843239	0.613936
319	320	0.506716	0.815912	0.843577	0.614392
320	321	0.506699	0.815986	0.843605	0.614398
321	322	0.502963	0.816801	0.845006	0.612277
322	323	0.502873	0.816842	0.844924	0.61221
323	324	0.503392	0.817	0.84519	0.612626
324	325	0.503447	0.814833	0.843699	0.612053
325	326	0.503447	0.814831	0.843671	0.612049
326	327	0.503385	0.814705	0.843691	0.611989
327	328	0.504924	0.818108	0.846177	0.613997
328	329	0.504962	0.818034	0.846225	0.614018
329	330	0.504954	0.81811	0.846224	0.614025
330	331	0.501398	0.815286	0.844595	0.610912
331	332	0.50168	0.81532	0.844787	0.611138
332	333	0.501554	0.815354	0.844798	0.611062
333	334	0.495912	0.81743	0.84502	0.607683
334	335	0.495853	0.817426	0.844852	0.607615
335	336	0.496106	0.817434	0.845092	0.607825
336	337	0.497663	0.816031	0.844149	0.608472
337	338	0.497701	0.81599	0.844075	0.608479
338	339	0.497607	0.816007	0.844037	0.608412
339	340	0.516237	0.820293	0.847531	0.622129
340	341	0.516163	0.820279	0.847521	0.622075
341	342	0.516229	0.820163	0.847439	0.622087
342	343	0.513159	0.818122	0.845438	0.619366
343	344	0.513793	0.818183	0.845721	0.619846
344	345	0.513868	0.81816	0.845781	0.619902
345	346	0.506571	0.817829	0.846202	0.615052
346	347	0.506481	0.817804	0.846155	0.61498
347	348	0.5071	0.817897	0.846326	0.615437
348	349	0.508027	0.817824	0.845768	0.61595
349	350	0.508106	0.817821	0.845762	0.616001
350	351	0.507932	0.817918	0.845715	0.615893
351	352	0.50949	0.819694	0.847912	0.617594
352	353	0.509519	0.819721	0.847941	0.617623
353	354	0.509415	0.819604	0.847895	0.617527
354	355	0.504041	0.817297	0.845391	0.613142
355	356	0.504542	0.817546	0.84574	0.613576
356	357	0.5044	0.81753	0.845706	0.613473
357	358	0.501631	0.819411	0.847362	0.612216
358	359	0.501539	0.819401	0.847319	0.612146
359	360	0.502054	0.819567	0.847393	0.612529
360	361	0.506362	0.820014	0.847136	0.615433
361	362	0.506576	0.82007	0.847207	0.615597
362	363	0.505321	0.820225	0.847236	0.614791
